team_key,team_number,wins,losses,ties
frc9427,9427,4,5,0
frc971,971,6,4,0
frc1912,1912,7,3,0
frc5338,5338,2,8,0
frc2583,2583,3,7,0
frc2137,2137,6,4,0
frc2960,2960,7,3,0
frc4272,4272,6,4,0
frc9032,9032,7,3,0
frc1501,1501,3,7,0
frc2851,2851,3,7,0
frc11387,11387,5,5,0
frc4403,4403,3,7,0
frc9470,9470,9,1,0
frc1114,1114,10,0,0
frc10021,10021,8,2,0
frc9084,9084,5,5,0
frc7525,7525,4,6,0
frc1511,1511,6,4,0
frc9771,9771,1,8,0
frc8884,8884,6,4,0
frc2539,2539,6,4,0
frc7166,7166,7,3,0
frc3604,3604,4,5,0
frc4593,4593,4,6,0
frc3572,3572,5,5,0
frc2075,2075,5,5,0
frc1241,1241,9,1,0
frc2106,2106,8,1,0
frc5468,5468,8,2,0
frc3006,3006,6,4,0
frc9401,9401,6,4,0
frc1189,1189,5,5,0
frc5940,5940,10,0,0
frc103,103,7,2,0
frc9126,9126,5,5,0
frc7598,7598,4,6,0
frc6907,6907,7,3,0
frc4646,4646,5,5,0
frc5665,5665,4,6,0
frc11019,11019,3,7,0
frc167,167,3,7,0
frc1619,1619,6,4,0
frc2826,2826,4,6,0
frc1868,1868,5,5,0
frc6459,6459,3,7,0
frc1731,1731,3,7,0
frc3476,3476,5,5,0
frc11297,11297,1,9,0
frc10162,10162,0,10,0
frc5829,5829,3,7,0
frc2881,2881,8,2,0
frc548,548,5,5,0
frc3494,3494,5,5,0
frc587,587,4,6,0
frc9001,9001,5,5,0
frc2767,2767,7,3,0
frc1648,1648,2,7,0
frc5066,5066,1,9,0
frc4728,4728,1,9,0
frc7407,7407,5,5,0
frc3284,3284,6,4,0
frc8608,8608,9,1,0
frc5010,5010,4,6,0
frc1646,1646,1,9,0
frc2847,2847,4,6,0
frc1218,1218,6,4,0
frc131,131,4,6,0
frc8817,8817,1,9,0
frc10015,10015,1,9,0
frc4096,4096,5,5,0
frc1261,1261,6,4,0
frc3045,3045,8,2,0
frc27,27,8,2,0
frc5801,5801,4,6,0
frc589,589,3,7,0
frc254,254,9,1,0
frc10254,10254,6,4,0
frc5193,5193,7,3,0
frc3792,3792,3,8,0
frc7567,7567,2,8,0
frc4611,4611,6,4,0
frc5572,5572,4,6,0
frc294,294,7,3,0
frc3847,3847,5,5,0
frc59,59,4,6,0
frc4027,4027,3,7,0
frc2443,2443,6,4,0
frc4786,4786,3,7,0
frc10349,10349,3,7,0
frc5907,5907,10,0,0
frc4256,4256,1,9,0
frc2357,2357,4,6,0
frc8595,8595,7,3,0
frc2637,2637,4,7,0
frc571,571,7,3,0
frc302,302,5,5,0
frc1684,1684,3,7,0
frc2412,2412,7,3,0
frc3128,3128,9,1,0
frc9023,9023,8,2,0
frc2682,2682,7,3,0
frc1498,1498,7,3,0
frc8725,8725,5,5,0
frc2724,2724,6,4,0
frc9068,9068,5,5,0
frc6800,6800,9,1,0
frc7028,7028,9,1,0
frc3932,3932,4,6,0
frc2992,2992,4,6,0
frc2053,2053,3,7,0
frc10922,10922,6,5,0
frc5166,5166,5,5,0
frc11318,11318,3,7,0
frc3197,3197,3,7,0
